date,BidPrice-BSV,BidVolume-BSV,AskPrice-BSV,AskVolume-BSV,BidPrice-BTC,BidVolume-BTC,AskPrice-BTC,AskVolume-BTC,BidPrice-EOS,BidVolume-EOS,AskPrice-EOS,AskVolume-EOS,BidPrice-ETH,BidVolume-ETH,AskPrice-ETH,AskVolume-ETH,BidPrice-BAB,BidVolume-BAB,AskPrice-BAB,AskVolume-BAB,BidPrice-LTC,BidVolume-LTC,AskPrice-LTC,AskVolume-LTC,BidPrice-NEO,BidVolume-NEO,AskPrice-NEO,AskVolume-NEO,BidPrice-XRP,BidVolume-XRP,AskPrice-XRP,AskVolume-XRP
2019-11-03 06:48:54.430726,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3329,48140.35068047,3.3360000000000003,49072.17707136,184.13,640.79161755,184.14,971.83052793,296.95,666.52469235,297.1,657.75207909,58.38399999999999,2494.11427366,58.394,2703.80062519,10.924000000000001,6057.20875668,10.946,10062.359157100002,0.29433000000000004,353014.64238240005,0.29449000000000003,492238.1649872901
2019-11-03 06:48:58.096677,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3329,48140.35068047,3.3360000000000003,49072.17707136,184.13,640.79161755,184.14,971.83052793,296.95,666.52469235,297.1,657.75207909,58.368,2385.8521777700007,58.416000000000004,2804.11080041,10.924000000000001,6057.20875668,10.946,10062.359157100002,0.29433000000000004,353014.64238240005,0.29449000000000003,492238.1649872901
2019-11-03 06:48:58.167702,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3329,48140.35068047,3.3360000000000003,49072.17707136,184.13,640.79161755,184.14,971.83052793,296.95,666.52469235,297.1,657.75207909,58.368,2385.8521777700007,58.416000000000004,2804.11080041,10.924000000000001,6057.20875668,10.946,10062.359157100002,0.29433000000000004,302766.52889729,0.29444000000000004,482278.35691134
2019-11-03 06:48:58.197705,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3329,48140.35068047,3.3360000000000003,49072.17707136,184.12,969.50405274,184.14,1021.1738601599997,296.95,666.52469235,297.1,657.75207909,58.368,2385.8521777700007,58.416000000000004,2804.11080041,10.924000000000001,6057.20875668,10.946,10062.359157100002,0.29433000000000004,302766.52889729,0.29444000000000004,482278.35691134
2019-11-03 06:48:58.208699,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3331,35897.46047869999,3.3363,42839.13028598001,184.12,969.50405274,184.14,1021.1738601599997,296.95,666.52469235,297.1,657.75207909,58.368,2385.8521777700007,58.416000000000004,2804.11080041,10.924000000000001,6057.20875668,10.946,10062.359157100002,0.29433000000000004,302766.52889729,0.29444000000000004,482278.35691134
2019-11-03 06:48:58.219677,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3331,35897.46047869999,3.3363,42839.13028598001,184.12,969.50405274,184.14,1021.1738601599997,296.95,666.52469235,297.1,657.75207909,58.368,2385.8521777700007,58.416000000000004,2804.11080041,10.924000000000001,5998.82253996,10.944,7327.1095704,0.29433000000000004,302766.52889729,0.29444000000000004,482278.35691134
2019-11-03 06:48:58.829708,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3331,35897.46047869999,3.3363,42839.13028598001,184.12,969.50405274,184.14,1021.1738601599997,296.72,551.22850948,296.95,642.77448571,58.368,2385.8521777700007,58.416000000000004,2804.11080041,10.924000000000001,5998.82253996,10.944,7327.1095704,0.29433000000000004,302766.52889729,0.29444000000000004,482278.35691134
2019-11-03 06:49:05.933677,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3331,35897.46047869999,3.3363,42839.13028598001,184.12,969.50405274,184.14,1021.1738601599997,296.72,551.22850948,296.95,642.77448571,58.368,2385.8521777700007,58.416000000000004,2804.11080041,10.924000000000001,5998.82253996,10.944,7327.1095704,0.29433000000000004,302766.52889729,0.29444000000000004,482278.35691134
2019-11-03 06:49:07.370678,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3331,35897.46047869999,3.3363,42839.13028598001,184.12,969.50405274,184.14,1021.1738601599997,296.72,551.22850948,296.95,642.77448571,58.368,2385.8521777700007,58.416000000000004,2804.11080041,10.924000000000001,5998.82253996,10.944,7327.1095704,0.29433000000000004,302766.52889729,0.29444000000000004,482278.35691134
2019-11-03 06:49:07.871718,132.61,1510.52742088,132.77,1088.75002847,9317.2,22.16986318,9317.3,25.43216076,3.3331,35897.46047869999,3.3363,42839.13028598001,184.12,969.50405274,184.14,1021.1738601599997,296.72,551.22850948,296.95,642.77448571,58.368,2385.8521777700007,58.416000000000004,2804.11080041,10.924000000000001,5998.82253996,10.944,7327.1095704,0.29433000000000004,302766.52889729,0.29444000000000004,482278.35691134
